userName,score,at,content,clean_content,p1_lower,p2_tokens,p3_no_stop,p4_regex,p5_stem,p6_lemma,p7_pos,p8_ner,p9_chunk,p10_abbrev,p11_emoji,p12_aug
nando nando,5,2025-09-07 13:58:05,"tolong si ini akun dana saya nomor nya sudah hilang,,terus saya mau masuk ke akun dana harus pakek kode otp,padahal sudah masukin sandi sama verifikasi wajah,,masa masih harus pkek kode otp,,gimna saldo yg ada di akun dana saya,apa masih bisa di ambil🙏🙏","tolong si ini akun dana saya nomor nya sudah hilang,,terus saya mau masuk ke akun dana harus pakek kode otp,padahal sudah masukin sandi sama verifikasi wajah,,masa masih harus pkek kode otp,,gimna saldo yg ada di akun dana saya,apa masih bisa di ambil🙏🙏","tolong si ini akun dana saya nomor nya sudah hilang,,terus saya mau masuk ke akun dana harus pakek kode otp,padahal sudah masukin sandi sama verifikasi wajah,,masa masih harus pkek kode otp,,gimna saldo yg ada di akun dana saya,apa masih bisa di ambil🙏🙏","['tolong', 'si', 'ini', 'akun', 'dana', 'saya', 'nomor', 'nya', 'sudah', 'hilang', ',', ',', 'terus', 'saya', 'mau', 'masuk', 'ke', 'akun', 'dana', 'harus', 'pakek', 'kode', 'otp', ',', 'padahal', 'sudah', 'masukin', 'sandi', 'sama', 'verifikasi', 'wajah', ',', ',', 'masa', 'masih', 'harus', 'pkek', 'kode', 'otp', ',', ',', 'gimna', 'saldo', 'yg', 'ada', 'di', 'akun', 'dana', 'saya', ',', 'apa', 'masih', 'bisa', 'di', 'ambil', '🙏', '🙏']","['tolong', 'si', 'akun', 'dana', 'nomor', 'nya', 'hilang', ',', ',', 'masuk', 'akun', 'dana', 'pakek', 'kode', 'otp', ',', 'masukin', 'sandi', 'verifikasi', 'wajah', ',', ',', 'pkek', 'kode', 'otp', ',', ',', 'gimna', 'saldo', 'yg', 'akun', 'dana', ',', 'ambil', '🙏', '🙏']","['tolong', 'si', 'akun', 'dana', 'nomor', 'nya', 'hilang', 'masuk', 'akun', 'dana', 'pakek', 'kode', 'otp', 'masukin', 'sandi', 'verifikasi', 'wajah', 'pkek', 'kode', 'otp', 'gimna', 'saldo', 'yg', 'akun', 'dana', 'ambil', '🙏', '🙏']","['tolong', 'si', 'akun', 'dana', 'nomor', 'nya', 'hilang', 'masuk', 'akun', 'dana', 'pakek', 'kode', 'otp', 'masukin', 'sandi', 'verifikasi', 'wajah', 'pkek', 'kode', 'otp', 'gimna', 'saldo', 'yg', 'akun', 'dana', 'ambil', '', '']","['tolong', 'si', 'akun', 'dana', 'nomor', 'nya', 'hilang', 'masuk', 'akun', 'dana', 'pakek', 'kode', 'otp', 'masukin', 'sandi', 'verifikasi', 'wajah', 'pkek', 'kode', 'otp', 'gimna', 'saldo', 'yg', 'akun', 'dana', 'ambil', '', '']","[('tolong', 'PROPN'), ('si', 'PROPN'), ('akun', 'PROPN'), ('dana', 'PROPN'), ('nomor', 'PROPN'), ('nya', 'PROPN'), ('hilang', 'PROPN'), ('masuk', 'PROPN'), ('akun', 'PROPN'), ('dana', 'PROPN'), ('pakek', 'PROPN'), ('kode', 'PROPN'), ('otp', 'PROPN'), ('masukin', 'PROPN'), ('sandi', 'PROPN'), ('verifikasi', 'PROPN'), ('wajah', 'PROPN'), ('pkek', 'PROPN'), ('kode', 'PROPN'), ('otp', 'PROPN'), ('gimna', 'PROPN'), ('saldo', 'PROPN'), ('yg', 'PROPN'), ('akun', 'PROPN'), ('dana', 'PROPN'), ('ambil', 'PROPN'), (' ', 'SPACE')]","[('dana nomor nya hilang', 'PERSON'), ('dana pakek kode otp', 'PERSON'), ('kode otp', 'PERSON'), ('akun dana ambil', 'PERSON')]","[('tolong si akun dana nomor nya hilang masuk akun dana pakek kode otp masukin sandi verifikasi wajah', 'NP'), ('pkek kode otp gimna saldo', 'NP')]","['tolong', 'si', 'akun', 'dana', 'nomor', 'nya', 'hilang', 'masuk', 'akun', 'dana', 'pakek', 'kode', 'otp', 'masukin', 'sandi', 'verifikasi', 'wajah', 'pkek', 'kode', 'otp', 'gimna', 'saldo', 'yang', 'akun', 'dana', 'ambil', '', '']","['tolong', 'si', 'akun', 'dana', 'nomor', 'nya', 'hilang', 'masuk', 'akun', 'dana', 'pakek', 'kode', 'otp', 'masukin', 'sandi', 'verifikasi', 'wajah', 'pkek', 'kode', 'otp', 'gimna', 'saldo', 'yang', 'akun', 'dana', 'ambil', '', '']","['tolong', 'silicon', 'akun', 'Danu', 'nomor', 'nya', 'hilang', 'masuk', 'akun', 'Danu', 'pakek', 'kode', 'otp', 'masukin', 'sandi', 'verifikasi', 'wajah', 'pkek', 'kode', 'otp', 'gimna', 'saldo', 'yang', 'akun', 'Danu', 'ambil', '', '']"
Asep Awaludin,5,2025-09-07 13:56:59,gampang untuk transaksi,gampang untuk transaksi,gampang untuk transaksi,"['gampang', 'untuk', 'transaksi']","['gampang', 'transaksi']","['gampang', 'transaksi']","['gampang', 'transaksi']","['gampang', 'transaksi']","[('gampang', 'PROPN'), ('transaksi', 'PROPN')]","[('gampang transaksi', 'ORG')]","[('gampang transaksi', 'NP')]","['gampang', 'transaksi']","['gampang', 'transaksi']","['gampang', 'transaksi']"
Totok Parjo,5,2025-09-07 13:52:55,puas bgt,puas bgt,puas bgt,"['puas', 'bgt']","['puas', 'bgt']","['puas', 'bgt']","['puas', 'bgt']","['puas', 'bgt']","[('puas', 'PROPN'), ('bgt', 'PROPN')]",[],"[('puas bgt', 'NP')]","['puas', 'bgt']","['puas', 'bgt']","['puas', 'bgt']"
Ari Superi,5,2025-09-07 13:52:24,ko gak bisah mijam uang cicilan,ko gak bisah mijam uang cicilan,ko gak bisah mijam uang cicilan,"['ko', 'gak', 'bisah', 'mijam', 'uang', 'cicilan']","['ko', 'gak', 'bisah', 'mijam', 'uang', 'cicilan']","['ko', 'gak', 'bisah', 'mijam', 'uang', 'cicilan']","['ko', 'gak', 'bisah', 'mijam', 'uang', 'cicil']","['ko', 'gak', 'bisah', 'mijam', 'uang', 'cicil']","[('ko', 'PROPN'), ('gak', 'PROPN'), ('bisah', 'PROPN'), ('mijam', 'PROPN'), ('uang', 'PROPN'), ('cicil', 'PROPN')]","[('ko gak bisah mijam uang cicil', 'PERSON')]","[('ko gak bisah mijam uang cicil', 'NP')]","['ko', 'gak', 'bisah', 'mijam', 'uang', 'cicil']","['ko', 'gak', 'bisah', 'mijam', 'uang', 'cicil']","['knockout', 'gak', 'bisah', 'mijam', 'uang', 'cicil']"
hengky gunstar,5,2025-09-07 13:52:08,"kok gak bisa masuk devosis saya dr brimo,selebihnya oke,","kok gak bisa masuk devosis saya dr brimo,selebihnya oke,","kok gak bisa masuk devosis saya dr brimo,selebihnya oke,","['kok', 'gak', 'bisa', 'masuk', 'devosis', 'saya', 'dr', 'brimo', ',', 'selebihnya', 'oke', ',']","['gak', 'masuk', 'devosis', 'dr', 'brimo', ',', 'selebihnya', 'oke', ',']","['gak', 'masuk', 'devosis', 'dr', 'brimo', 'selebihnya', 'oke']","['gak', 'masuk', 'devosis', 'dr', 'brimo', 'lebih', 'oke']","['gak', 'masuk', 'devosis', 'dr', 'brimo', 'lebih', 'oke']","[('gak', 'PROPN'), ('masuk', 'PROPN'), ('devosis', 'NOUN'), ('dr', 'PROPN'), ('brimo', 'PROPN'), ('lebih', 'PROPN'), ('oke', 'PROPN')]","[('gak masuk', 'ORG'), ('lebih', 'GPE')]","[('gak masuk devosis', 'NP'), ('dr brimo lebih', 'NP')]","['gak', 'masuk', 'devosis', 'dari', 'brimo', 'lebih', 'oke']","['gak', 'masuk', 'devosis', 'dari', 'brimo', 'lebih', 'oke']","['gak', 'masuk', 'devosis', 'Dari', 'brimo', 'lebih', 'oke']"
Agus rono rene,5,2025-09-07 13:51:01,baik dan sangat membantu mudah di pahami,baik dan sangat membantu mudah di pahami,baik dan sangat membantu mudah di pahami,"['baik', 'dan', 'sangat', 'membantu', 'mudah', 'di', 'pahami']","['membantu', 'mudah', 'pahami']","['membantu', 'mudah', 'pahami']","['bantu', 'mudah', 'paham']","['bantu', 'mudah', 'paham']","[('bantu', 'PROPN'), ('mudah', 'PROPN'), ('paham', 'PROPN')]","[('mudah paham', 'PERSON')]","[('bantu', 'NP'), ('mudah paham', 'NP')]","['bantu', 'mudah', 'paham']","['bantu', 'mudah', 'paham']","['Bantu', 'mudah', 'paham']"
Suryadi Surya,5,2025-09-07 13:50:47,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],['mantap'],['mantap'],"[('mantap', 'NOUN')]",[],"[('mantap', 'NP')]",['mantap'],['mantap'],['mantap']
Imam Pratama,5,2025-09-07 13:45:19,lumayan,lumayan,lumayan,['lumayan'],['lumayan'],['lumayan'],['lumayan'],['lumayan'],"[('lumayan', 'PROPN')]",[],"[('lumayan', 'NP')]",['lumayan'],['lumayan'],['lumayan']
Vika Anggraini,2,2025-09-07 13:44:51,karena mau meng unstal nya lama,karena mau meng unstal nya lama,karena mau meng unstal nya lama,"['karena', 'mau', 'meng', 'unstal', 'nya', 'lama']","['meng', 'unstal', 'nya']","['meng', 'unstal', 'nya']","['meng', 'unstal', 'nya']","['meng', 'unstal', 'nya']","[('meng', 'PROPN'), ('unstal', 'ADJ'), ('nya', 'NOUN')]","[('meng unstal nya', 'PERSON')]","[('meng unstal nya', 'NP')]","['meng', 'unstal', 'nya']","['meng', 'unstal', 'nya']","['meng', 'unstal', 'nya']"
Fadiah Azizah,5,2025-09-07 13:44:03,Cepat dan aman,cepat dan aman,cepat dan aman,"['cepat', 'dan', 'aman']","['cepat', 'aman']","['cepat', 'aman']","['cepat', 'aman']","['cepat', 'aman']","[('cepat', 'PROPN'), ('aman', 'NOUN')]",[],"[('cepat aman', 'NP')]","['cepat', 'aman']","['cepat', 'aman']","['cepat', 'aman']"
cecep hendrik,5,2025-09-07 13:43:36,terbaik tersimple dalam transaksi,terbaik tersimple dalam transaksi,terbaik tersimple dalam transaksi,"['terbaik', 'tersimple', 'dalam', 'transaksi']","['terbaik', 'tersimple', 'transaksi']","['terbaik', 'tersimple', 'transaksi']","['baik', 'tersimple', 'transaksi']","['baik', 'tersimple', 'transaksi']","[('baik', 'PROPN'), ('tersimple', 'PROPN'), ('transaksi', 'NOUN')]","[('baik tersimple', 'PERSON')]","[('baik', 'NP'), ('tersimple transaksi', 'NP')]","['baik', 'tersimple', 'transaksi']","['baik', 'tersimple', 'transaksi']","['baik', 'tersimple', 'transaksi']"
Arya Belinyu,5,2025-09-07 13:41:02,ok bagus,ok bagus,ok bagus,"['ok', 'bagus']","['ok', 'bagus']","['ok', 'bagus']","['ok', 'bagus']","['ok', 'bagus']","[('ok', 'INTJ'), ('bagus', 'PROPN')]",[],"[('bagus', 'NP')]","['ok', 'bagus']","['ok', 'bagus']","['Oklahoma', 'bagus']"
Jack Jsk,5,2025-09-07 13:40:30,aplikasi yg bagus aman untuk segala pembayaran,aplikasi yg bagus aman untuk segala pembayaran,aplikasi yg bagus aman untuk segala pembayaran,"['aplikasi', 'yg', 'bagus', 'aman', 'untuk', 'segala', 'pembayaran']","['aplikasi', 'yg', 'bagus', 'aman', 'pembayaran']","['aplikasi', 'yg', 'bagus', 'aman', 'pembayaran']","['aplikasi', 'yg', 'bagus', 'aman', 'bayar']","['aplikasi', 'yg', 'bagus', 'aman', 'bayar']","[('aplikasi', 'PROPN'), ('yg', 'PROPN'), ('bagus', 'PROPN'), ('aman', 'PROPN'), ('bayar', 'VERB')]",[],"[('aplikasi yg bagus aman', 'NP')]","['aplikasi', 'yang', 'bagus', 'aman', 'bayar']","['aplikasi', 'yang', 'bagus', 'aman', 'bayar']","['aplikasi', 'yang', 'bagus', 'aman', 'bayar']"
dedi Sunil,5,2025-09-07 13:40:24,persi terbaru donk boss masih persi lama,persi terbaru donk boss masih persi lama,persi terbaru donk boss masih persi lama,"['persi', 'terbaru', 'donk', 'boss', 'masih', 'persi', 'lama']","['persi', 'terbaru', 'donk', 'boss', 'persi']","['persi', 'terbaru', 'donk', 'boss', 'persi']","['pers', 'baru', 'donk', 'boss', 'pers']","['pers', 'baru', 'donk', 'bos', 'pers']","[('pers', 'NOUN'), ('baru', 'VERB'), ('donk', 'PROPN'), ('bos', 'PROPN'), ('pers', 'NOUN')]",[],"[('pers', 'NP'), ('donk bos pers', 'NP')]","['pers', 'baru', 'donk', 'bos', 'pers']","['pers', 'baru', 'donk', 'bos', 'pers']","['pers', 'baru', 'donk', 'Bos', 'pers']"
Ridha linlan,5,2025-09-07 13:39:46,makasih,makasih,makasih,['makasih'],['makasih'],['makasih'],['makasih'],['makasih'],"[('makasih', 'PROPN')]","[('makasih', 'PERSON')]","[('makasih', 'NP')]",['makasih'],['makasih'],['makasih']
Cien Aprhylio Aphrylio,5,2025-09-07 13:38:38,good luk,good luk,good luk,"['good', 'luk']","['good', 'luk']","['good', 'luk']","['good', 'luk']","['good', 'luk']","[('good', 'ADJ'), ('luk', 'NOUN')]",[],"[('good luk', 'NP')]","['good', 'luk']","['good', 'luk']","['good', 'luk']"
Lyna Liem,1,2025-09-07 13:36:54,app dana kenapa? tidak bisa ke buka ini akun dana saya ada uang 100.000 lebih,app dana kenapa? tidak bisa ke buka ini akun dana saya ada uang 100.000 lebih,app dana kenapa? tidak bisa ke buka ini akun dana saya ada uang 100.000 lebih,"['app', 'dana', 'kenapa', '?', 'tidak', 'bisa', 'ke', 'buka', 'ini', 'akun', 'dana', 'saya', 'ada', 'uang', '100.000', 'lebih']","['app', 'dana', '?', 'buka', 'akun', 'dana', 'uang', '100.000']","['app', 'dana', 'buka', 'akun', 'dana', 'uang', '100000']","['app', 'dana', 'buka', 'akun', 'dana', 'uang', '100000']","['app', 'dana', 'buka', 'akun', 'dana', 'uang', '100000']","[('app', 'PROPN'), ('dana', 'PROPN'), ('buka', 'PROPN'), ('akun', 'PROPN'), ('dana', 'PROPN'), ('uang', 'PROPN'), ('100000', 'NUM')]","[('dana buka', 'PERSON'), ('dana uang', 'PERSON'), ('100000', 'DATE')]","[('app dana buka akun dana uang', 'NP')]","['app', 'dana', 'buka', 'akun', 'dana', 'uang', '100000']","['app', 'dana', 'buka', 'akun', 'dana', 'uang', '100000']","['app', 'Danu', 'buka', 'akun', 'Danu', 'uang', 'hundred_thousand']"
Hair Uddin,5,2025-09-07 13:34:42,Dana tingkatkan kwalitas pelayanan yg ok,dana tingkatkan kwalitas pelayanan yg ok,dana tingkatkan kwalitas pelayanan yg ok,"['dana', 'tingkatkan', 'kwalitas', 'pelayanan', 'yg', 'ok']","['dana', 'tingkatkan', 'kwalitas', 'pelayanan', 'yg', 'ok']","['dana', 'tingkatkan', 'kwalitas', 'pelayanan', 'yg', 'ok']","['dana', 'tingkat', 'kwalitas', 'layan', 'yg', 'ok']","['dana', 'tingkat', 'kwalitas', 'layan', 'yg', 'ok']","[('dana', 'PROPN'), ('tingkat', 'PROPN'), ('kwalitas', 'PROPN'), ('layan', 'PROPN'), ('yg', 'PRON'), ('ok', 'VERB')]","[('dana tingkat kwalitas', 'PERSON')]","[('dana tingkat', 'NP')]","['dana', 'tingkat', 'kwalitas', 'layan', 'yang', 'ok']","['dana', 'tingkat', 'kwalitas', 'layan', 'yang', 'ok']","['Danu', 'tingkat', 'kwalitas', 'layan', 'yang', 'Oklahoma']"
Dwi Prayitno,5,2025-09-07 13:32:39,"mau cetak qris, kok malah masuk ke menu pengaturan hp??","mau cetak qris, kok malah masuk ke menu pengaturan hp??","mau cetak qris, kok malah masuk ke menu pengaturan hp??","['mau', 'cetak', 'qris', ',', 'kok', 'malah', 'masuk', 'ke', 'menu', 'pengaturan', 'hp', '?', '?']","['cetak', 'qris', ',', 'masuk', 'menu', 'pengaturan', 'hp', '?', '?']","['cetak', 'qris', 'masuk', 'menu', 'pengaturan', 'hp']","['cetak', 'qris', 'masuk', 'menu', 'atur', 'hp']","['cetak', 'qris', 'masuk', 'menu', 'atur', 'hp']","[('cetak', 'PROPN'), ('qris', 'PROPN'), ('masuk', 'PROPN'), ('menu', 'PROPN'), ('atur', 'PROPN'), ('hp', 'PROPN')]","[('cetak qris', 'ORG'), ('masuk menu atur', 'FAC')]","[('atur', 'NP')]","['cetak', 'qris', 'masuk', 'menu', 'atur', 'hp']","['cetak', 'qris', 'masuk', 'menu', 'atur', 'hp']","['cetak', 'qris', 'masuk', 'menu', 'atur', 'horsepower']"
Brilian dhofir Febriansyah,1,2025-09-07 13:30:48,tidak bisa verifikasi dana premium,tidak bisa verifikasi dana premium,tidak bisa verifikasi dana premium,"['tidak', 'bisa', 'verifikasi', 'dana', 'premium']","['verifikasi', 'dana', 'premium']","['verifikasi', 'dana', 'premium']","['verifikasi', 'dana', 'premium']","['verifikasi', 'dana', 'premium']","[('verifikasi', 'PROPN'), ('dana', 'PROPN'), ('premium', 'PROPN')]","[('verifikasi dana premium', 'ORG')]","[('verifikasi dana premium', 'NP')]","['verifikasi', 'dana', 'premium']","['verifikasi', 'dana', 'premium']","['verifikasi', 'Danu', 'premium']"
Itile Inci,5,2025-09-07 13:30:32,sangat baik bagus,sangat baik bagus,sangat baik bagus,"['sangat', 'baik', 'bagus']",['bagus'],['bagus'],['bagus'],['bagus'],"[('bagus', 'PROPN')]",[],"[('bagus', 'NP')]",['bagus'],['bagus'],['bagus']
xxx yuar,5,2025-09-07 13:30:14,kenapa saya selalu mengalami gangguan jaringan saat ingin masuk ke dana,kenapa saya selalu mengalami gangguan jaringan saat ingin masuk ke dana,kenapa saya selalu mengalami gangguan jaringan saat ingin masuk ke dana,"['kenapa', 'saya', 'selalu', 'mengalami', 'gangguan', 'jaringan', 'saat', 'ingin', 'masuk', 'ke', 'dana']","['mengalami', 'gangguan', 'jaringan', 'masuk', 'dana']","['mengalami', 'gangguan', 'jaringan', 'masuk', 'dana']","['alami', 'ganggu', 'jaring', 'masuk', 'dana']","['alami', 'ganggu', 'jaring', 'masuk', 'dana']","[('alami', 'ADJ'), ('ganggu', 'PROPN'), ('jaring', 'PROPN'), ('masuk', 'PROPN'), ('dana', 'PROPN')]",[],"[('alami ganggu', 'NP'), ('jaring masuk', 'NP')]","['alami', 'ganggu', 'jaring', 'masuk', 'dana']","['alami', 'ganggu', 'jaring', 'masuk', 'dana']","['alami', 'ganggu', 'clash', 'masuk', 'Danu']"
